title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Death in Brunswick (1991),4.0,1,-,-,-,-
Deceiver (1997),2.5714285714285716,14,Mars Attacks! (1996),Forrest Gump (1994),Courage Under Fire (1996),Murder at 1600 (1997)
Deconstructing Harry (1997),3.3823529411764706,34,Forrest Gump (1994),"Sound of Music, The (1965)",Dead Poets Society (1989),Groundhog Day (1993)
Deep Rising (1998),2.0,5,"Usual Suspects, The (1995)",Top Gun (1986),Leaving Las Vegas (1995),Get Shorty (1995)
"Deer Hunter, The (1978)",3.838709677419355,62,Heat (1995),Lone Star (1996),Apocalypse Now (1979),Seven (Se7en) (1995)
Delicatessen (1991),4.0,35,Lone Star (1996),"Hunt for Red October, The (1990)",M*A*S*H (1970),Brazil (1985)
Delta of Venus (1994),5.0,1,-,-,-,-
Demolition Man (1993),3.173076923076923,52,"Truth About Cats & Dogs, The (1996)",Conspiracy Theory (1997),Eraser (1996),Star Trek: First Contact (1996)
Denise Calls Up (1995),2.6,5,Courage Under Fire (1996),"Usual Suspects, The (1995)","Time to Kill, A (1996)",Terminator 2: Judgment Day (1991)
Desert Winds (1995),4.0,1,-,-,-,-
"Designated Mourner, The (1997)",1.5,2,-,-,-,-
Desperado (1995),3.480769230769231,52,Aladdin (1992),"Time to Kill, A (1996)",Volcano (1997),"English Patient, The (1996)"
Desperate Measures (1998),3.25,36,Unforgiven (1992),"Princess Bride, The (1987)",Raising Arizona (1987),Star Trek IV: The Voyage Home (1986)
Destiny Turns on the Radio (1995),3.0,2,-,-,-,-
Devil in a Blue Dress (1995),3.40625,32,M*A*S*H (1970),Phenomenon (1996),Quiz Show (1994),Face/Off (1997)
"Devil's Advocate, The (1997)",3.4634146341463414,82,Gandhi (1982),Trainspotting (1996),"Clockwork Orange, A (1971)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Devil's Own, The (1997)",3.0833333333333335,120,Twister (1996),"Rock, The (1996)",Air Force One (1997),Butch Cassidy and the Sundance Kid (1969)
Diabolique (1996),2.875,32,Butch Cassidy and the Sundance Kid (1969),"Fish Called Wanda, A (1988)",Dead Poets Society (1989),"Game, The (1997)"
Dial M for Murder (1954),3.942857142857143,35,"Fifth Element, The (1997)",Evita (1996),"Game, The (1997)","Full Monty, The (1997)"
Die Hard (1988),3.911290322580645,124,Titanic (1997),Conspiracy Theory (1997),Courage Under Fire (1996),Dances with Wolves (1990)
Die Hard 2 (1990),3.310344827586207,87,"Game, The (1997)",Volcano (1997),Courage Under Fire (1996),Butch Cassidy and the Sundance Kid (1969)
Die Hard: With a Vengeance (1995),3.4155844155844157,77,Conspiracy Theory (1997),Die Hard (1988),"Time to Kill, A (1996)",Independence Day (ID4) (1996)
"Die xue shuang xiong (Killer, The) (1989)",3.857142857142857,14,In & Out (1997),Star Trek III: The Search for Spock (1984),Starship Troopers (1997),Conspiracy Theory (1997)
Dingo (1992),2.25,4,Quiz Show (1994),Dante's Peak (1997),Dead Man Walking (1995),"English Patient, The (1996)"
Dirty Dancing (1987),3.234042553191489,47,"Hunt for Red October, The (1990)",Murder at 1600 (1997),Dante's Peak (1997),"Birdcage, The (1996)"
Disclosure (1994),3.0,24,Evita (1996),Chasing Amy (1997),"Devil's Own, The (1997)",Stand by Me (1986)
Diva (1981),3.71875,32,Field of Dreams (1989),Ransom (1996),To Kill a Mockingbird (1962),"People vs. Larry Flynt, The (1996)"
Dolores Claiborne (1994),3.388888888888889,54,"People vs. Larry Flynt, The (1996)","Graduate, The (1967)",Speed (1994),Men in Black (1997)
Don Juan DeMarco (1995),3.62,50,Star Trek: The Wrath of Khan (1982),Star Trek IV: The Voyage Home (1986),"People vs. Larry Flynt, The (1996)",Get Shorty (1995)
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.789473684210526,19,Quiz Show (1994),"Fish Called Wanda, A (1988)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shining, The (1980)"
Donnie Brasco (1997),3.808219178082192,73,"Terminator, The (1984)",Alien (1979),Apocalypse Now (1979),Batman (1989)
"Doom Generation, The (1995)",2.4,5,Star Trek IV: The Voyage Home (1986),Star Trek: First Contact (1996),In & Out (1997),Conspiracy Theory (1997)
"Doors, The (1991)",3.0869565217391304,23,Starship Troopers (1997),Volcano (1997),In & Out (1997),Phenomenon (1996)
Double Happiness (1994),3.4,5,Scream (1996),"Shining, The (1980)",Aladdin (1992),Liar Liar (1997)
Double Team (1997),2.1666666666666665,6,Aliens (1986),Groundhog Day (1993),Alien (1979),"Usual Suspects, The (1995)"
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.7,10,In & Out (1997),"Shawshank Redemption, The (1994)",Seven (Se7en) (1995),Air Force One (1997)
Down Periscope (1996),2.5283018867924527,53,"Hunt for Red October, The (1990)","Rock, The (1996)",Aladdin (1992),Eraser (1996)
Down by Law (1986),3.7222222222222223,18,Titanic (1997),Conspiracy Theory (1997),"Full Monty, The (1997)",M*A*S*H (1970)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.305555555555555,108,"Clockwork Orange, A (1971)",Boogie Nights (1997),To Kill a Mockingbird (1962),"People vs. Larry Flynt, The (1996)"
Dracula: Dead and Loving It (1995),2.0714285714285716,14,"Devil's Own, The (1997)",Star Trek: The Wrath of Khan (1982),Blade Runner (1982),"Truth About Cats & Dogs, The (1996)"
Dragonheart (1996),3.076923076923077,78,Stand by Me (1986),Star Trek: The Wrath of Khan (1982),Phenomenon (1996),Twister (1996)
Dream Man (1995),1.0,1,-,-,-,-
Dream With the Fishes (1997),4.5,2,Heat (1995),Independence Day (ID4) (1996),Men in Black (1997),"People vs. Larry Flynt, The (1996)"
Drop Dead Fred (1991),2.6,15,Lone Star (1996),Star Trek IV: The Voyage Home (1986),Rear Window (1954),Apocalypse Now (1979)
Drop Zone (1994),2.2142857142857144,14,Murder at 1600 (1997),Phenomenon (1996),Mission: Impossible (1996),Volcano (1997)
Drunks (1995),3.5,2,"English Patient, The (1996)","Shawshank Redemption, The (1994)",Return of the Jedi (1983),Raiders of the Lost Ark (1981)
Duck Soup (1933),4.06,50,Murder at 1600 (1997),"Hunt for Red October, The (1990)",Men in Black (1997),Liar Liar (1997)
Dumb & Dumber (1994),3.0,42,One Flew Over the Cuckoo's Nest (1975),Boogie Nights (1997),"Clockwork Orange, A (1971)",Starship Troopers (1997)
Dumbo (1941),3.6176470588235294,68,Murder at 1600 (1997),"Sting, The (1973)",Mars Attacks! (1996),"Wizard of Oz, The (1939)"
Dunston Checks In (1996),1.0,4,-,-,-,-
Duoluo tianshi (1995),4.666666666666667,3,-,-,-,-
E.T. the Extra-Terrestrial (1982),3.9585798816568047,169,L.A. Confidential (1997),Toy Story (1995),"Truth About Cats & Dogs, The (1996)",Star Wars (1977)
East of Eden (1955),3.935483870967742,31,Heat (1995),It's a Wonderful Life (1946),Field of Dreams (1989),Get Shorty (1995)
Eat Drink Man Woman (1994),4.184210526315789,38,Starship Troopers (1997),Dead Man Walking (1995),Alien (1979),"Clockwork Orange, A (1971)"
Ed (1996),2.0,1,-,-,-,-
Ed Wood (1994),3.5217391304347827,69,"Fifth Element, The (1997)",Get Shorty (1995),Aliens (1986),Psycho (1960)
Eddie (1996),2.9444444444444446,18,"Clockwork Orange, A (1971)",Brazil (1985),Four Weddings and a Funeral (1994),Get Shorty (1995)
"Edge, The (1997)",3.603448275862069,58,Rear Window (1954),Schindler's List (1993),"Clockwork Orange, A (1971)","Fifth Element, The (1997)"
Emma (1996),3.6853932584269664,89,Die Hard (1988),To Kill a Mockingbird (1962),Braveheart (1995),"Game, The (1997)"
"Empire Strikes Back, The (1980)",4.1005291005291005,189,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),In & Out (1997)
Enchanted April (1991),3.948717948717949,39,"Clockwork Orange, A (1971)",L.A. Confidential (1997),Lone Star (1996),Twelve Monkeys (1995)
"Endless Summer 2, The (1994)",1.8333333333333333,6,Get Shorty (1995),Brazil (1985),This Is Spinal Tap (1984),Rear Window (1954)
"Enfer, L' (1994)",3.5,2,-,-,-,-
"English Patient, The (1996)",3.659751037344398,241,True Lies (1994),Four Weddings and a Funeral (1994),Schindler's List (1993),Chasing Amy (1997)
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.1875,16,Dante's Peak (1997),Murder at 1600 (1997),"Clockwork Orange, A (1971)",Mr. Holland's Opus (1995)
Entertaining Angels: The Dorothy Day Story (1996),5.0,1,-,-,-,-
Eraser (1996),3.081081081081081,111,True Lies (1994),Titanic (1997),Indiana Jones and the Last Crusade (1989),"Rock, The (1996)"
Escape from L.A. (1996),2.3404255319148937,47,"Sound of Music, The (1965)",Quiz Show (1994),Dante's Peak (1997),Brazil (1985)
Escape from New York (1981),3.2857142857142856,49,GoodFellas (1990),Casablanca (1942),In & Out (1997),"Graduate, The (1967)"
Escape to Witch Mountain (1975),3.1176470588235294,17,L.A. Confidential (1997),Field of Dreams (1989),Sleepless in Seattle (1993),Unforgiven (1992)
Eve's Bayou (1997),3.68,25,Raiders of the Lost Ark (1981),Pulp Fiction (1994),Broken Arrow (1996),Sleepless in Seattle (1993)
Even Cowgirls Get the Blues (1993),1.5,2,Mrs. Doubtfire (1993),Back to the Future (1985),Groundhog Day (1993),Indiana Jones and the Last Crusade (1989)
"Evening Star, The (1996)",3.0833333333333335,12,Trainspotting (1996),2001: A Space Odyssey (1968),Courage Under Fire (1996),Volcano (1997)
Event Horizon (1997),2.609375,64,"Princess Bride, The (1987)","Clockwork Orange, A (1971)",Unforgiven (1992),GoodFellas (1990)
Every Other Weekend (1990),1.0,1,-,-,-,-
Everyone Says I Love You (1996),3.191919191919192,99,Mars Attacks! (1996),"Graduate, The (1967)",Dead Man Walking (1995),"Lion King, The (1994)"
Evil Dead II (1987),3.537037037037037,54,Courage Under Fire (1996),Dead Man Walking (1995),Rear Window (1954),GoodFellas (1990)
Evita (1996),3.109375,128,Schindler's List (1993),Casablanca (1942),Jurassic Park (1993),Dead Man Walking (1995)
Excess Baggage (1997),2.5,22,M*A*S*H (1970),Mars Attacks! (1996),Gandhi (1982),"Graduate, The (1967)"
Executive Decision (1996),3.3950617283950617,81,Apollo 13 (1995),L.A. Confidential (1997),Sleepless in Seattle (1993),M*A*S*H (1970)
Exit to Eden (1994),3.0,8,"Truth About Cats & Dogs, The (1996)",True Lies (1994),It's a Wonderful Life (1946),Babe (1995)
Exotica (1994),3.769230769230769,13,"Full Monty, The (1997)",Psycho (1960),Field of Dreams (1989),Star Trek III: The Search for Spock (1984)
Extreme Measures (1996),3.1666666666666665,36,In & Out (1997),"Blues Brothers, The (1980)",Conspiracy Theory (1997),Stand by Me (1986)
Eye for an Eye (1996),2.8947368421052633,19,Stand by Me (1986),Gandhi (1982),"Birdcage, The (1996)",Dead Poets Society (1989)
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1,-,-,-,-
Face/Off (1997),3.8256880733944953,109,Boogie Nights (1997),Starship Troopers (1997),"Rock, The (1996)",Raising Arizona (1987)
Faces (1968),3.5,2,"Fugitive, The (1993)",To Kill a Mockingbird (1962),"Terminator, The (1984)",Star Trek IV: The Voyage Home (1986)
Fair Game (1995),1.6666666666666667,6,Mighty Aphrodite (1995),Dances with Wolves (1990),Leaving Las Vegas (1995),Sleepless in Seattle (1993)
FairyTale: A True Story (1997),2.9,20,"Shining, The (1980)",Groundhog Day (1993),Star Trek IV: The Voyage Home (1986),Independence Day (ID4) (1996)
Faithful (1996),3.0,4,Indiana Jones and the Last Crusade (1989),When Harry Met Sally... (1989),Twister (1996),Trainspotting (1996)
Fall (1997),1.0,1,-,-,-,-
Fallen (1998),3.125,24,"Truth About Cats & Dogs, The (1996)","People vs. Larry Flynt, The (1996)","Lion King, The (1994)","Birdcage, The (1996)"
Falling in Love Again (1980),1.0,2,-,-,-,-
"Family Thing, A (1996)",3.5384615384615383,26,M*A*S*H (1970),Seven (Se7en) (1995),Chasing Amy (1997),True Lies (1994)
"Fan, The (1996)",3.21875,32,Mighty Aphrodite (1995),Dante's Peak (1997),Eraser (1996),Aliens (1986)
Fantasia (1940),3.764044943820225,89,"Game, The (1997)",Jerry Maguire (1996),2001: A Space Odyssey (1968),Men in Black (1997)
Far From Home: The Adventures of Yellow Dog (1995),3.0,4,"Hunt for Red October, The (1990)",Quiz Show (1994),"Shining, The (1980)",Star Trek: The Wrath of Khan (1982)
Farewell My Concubine (1993),3.9642857142857144,28,Liar Liar (1997),Beauty and the Beast (1991),Toy Story (1995),Lone Star (1996)
"Farewell to Arms, A (1932)",3.857142857142857,7,Aladdin (1992),Speed (1994),Mission: Impossible (1996),Rear Window (1954)
Fargo (1996),4.190298507462686,268,Lone Star (1996),This Is Spinal Tap (1984),Raising Arizona (1987),"Clockwork Orange, A (1971)"
Farinelli: il castrato (1994),2.875,8,Dances with Wolves (1990),Star Trek IV: The Voyage Home (1986),"English Patient, The (1996)","Time to Kill, A (1996)"
Farmer & Chase (1995),4.0,1,-,-,-,-
"Fast, Cheap & Out of Control (1997)",3.5714285714285716,14,"Truth About Cats & Dogs, The (1996)","Rock, The (1996)",Mars Attacks! (1996),True Lies (1994)
Faster Pussycat! Kill! Kill! (1965),2.8,5,"Sound of Music, The (1965)",Sleepless in Seattle (1993),"Clockwork Orange, A (1971)","Lion King, The (1994)"
Fatal Instinct (1993),2.75,8,Conspiracy Theory (1997),Ransom (1996),Butch Cassidy and the Sundance Kid (1969),It's a Wonderful Life (1946)
Father of the Bride (1950),3.6666666666666665,30,"Sound of Music, The (1965)","Time to Kill, A (1996)","Fish Called Wanda, A (1988)",Top Gun (1986)
Father of the Bride Part II (1995),2.7794117647058822,68,"Fish Called Wanda, A (1988)",True Lies (1994),Dead Poets Society (1989),"Full Monty, The (1997)"
Fathers' Day (1997),2.375,16,This Is Spinal Tap (1984),Psycho (1960),Sense and Sensibility (1995),True Lies (1994)
Faust (1994),3.6666666666666665,3,Fargo (1996),"Full Monty, The (1997)",Mr. Holland's Opus (1995),"Rock, The (1996)"
Fausto (1993),3.0,2,"Birdcage, The (1996)",Brazil (1985),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Groundhog Day (1993)
"Favor, The (1994)",2.0,1,-,-,-,-
Fear (1996),3.111111111111111,27,Apocalypse Now (1979),"Full Monty, The (1997)",Gandhi (1982),Starship Troopers (1997)
Fear of a Black Hat (1993),3.6,5,Fargo (1996),Back to the Future (1985),Mighty Aphrodite (1995),Trainspotting (1996)
"Fear, The (1995)",3.0,1,-,-,-,-
Fearless (1993),3.176470588235294,17,Heat (1995),Phenomenon (1996),Chasing Amy (1997),Willy Wonka and the Chocolate Factory (1971)
Feast of July (1995),2.4,5,Rear Window (1954),L.A. Confidential (1997),Men in Black (1997),Heat (1995)
Feeling Minnesota (1996),2.5789473684210527,19,Aladdin (1992),Starship Troopers (1997),"Full Monty, The (1997)","Devil's Own, The (1997)"
Female Perversions (1996),2.4,5,Volcano (1997),Unforgiven (1992),Beauty and the Beast (1991),Evita (1996)
Field of Dreams (1989),3.7079646017699117,113,Back to the Future (1985),Star Trek III: The Search for Spock (1984),Jerry Maguire (1996),"Shawshank Redemption, The (1994)"
Fierce Creatures (1997),3.150943396226415,53,L.A. Confidential (1997),Indiana Jones and the Last Crusade (1989),"Sting, The (1973)",Aliens (1986)
"Fifth Element, The (1997)",3.4035087719298245,114,"Saint, The (1997)",GoodFellas (1990),Get Shorty (1995),"Game, The (1997)"
"Fille seule, La (A Single Girl) (1995)",4.0,4,Fargo (1996),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",Psycho (1960)
Fire Down Below (1997),3.238095238095238,21,Apocalypse Now (1979),2001: A Space Odyssey (1968),Forrest Gump (1994),It's a Wonderful Life (1946)
Fire on the Mountain (1996),3.0,1,-,-,-,-
Firestorm (1998),3.3333333333333335,9,When Harry Met Sally... (1989),Forrest Gump (1994),"Game, The (1997)","Shawshank Redemption, The (1994)"
"Firm, The (1993)",3.3010752688172045,93,"Time to Kill, A (1996)",Conspiracy Theory (1997),Phenomenon (1996),Terminator 2: Judgment Day (1991)
First Kid (1996),2.6315789473684212,19,"English Patient, The (1996)",Jurassic Park (1993),Mighty Aphrodite (1995),Volcano (1997)
First Knight (1995),2.893617021276596,47,Phenomenon (1996),Aladdin (1992),Mission: Impossible (1996),Sense and Sensibility (1995)
"First Wives Club, The (1996)",2.9775280898876404,89,Conspiracy Theory (1997),GoodFellas (1990),Aladdin (1992),Quiz Show (1994)
"Fish Called Wanda, A (1988)",3.828125,128,Mars Attacks! (1996),Seven (Se7en) (1995),Star Trek: The Wrath of Khan (1982),In & Out (1997)
Fled (1996),2.6956521739130435,23,Blade Runner (1982),To Kill a Mockingbird (1962),Heat (1995),Star Trek IV: The Voyage Home (1986)
Flesh and Bone (1993),2.75,4,Die Hard (1988),L.A. Confidential (1997),Psycho (1960),Gandhi (1982)
"Flintstones, The (1994)",1.75,20,Face/Off (1997),Conspiracy Theory (1997),Terminator 2: Judgment Day (1991),Unforgiven (1992)
Flipper (1996),2.5,8,L.A. Confidential (1997),Babe (1995),"English Patient, The (1996)",Seven (Se7en) (1995)
Flirt (1995),4.0,3,Mars Attacks! (1996),Psycho (1960),Terminator 2: Judgment Day (1991),Face/Off (1997)
Flirting With Disaster (1996),3.5833333333333335,24,"Game, The (1997)","Time to Kill, A (1996)",Amadeus (1984),Men in Black (1997)
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.0,4,Murder at 1600 (1997),Leaving Las Vegas (1995),L.A. Confidential (1997),"Full Monty, The (1997)"
Flubber (1997),2.7333333333333334,30,Sense and Sensibility (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Truth About Cats & Dogs, The (1996)",Murder at 1600 (1997)
Fluke (1995),2.4285714285714284,7,Apollo 13 (1995),Twelve Monkeys (1995),Eraser (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Fly Away Home (1996),3.6129032258064515,93,"Wizard of Oz, The (1939)",Sense and Sensibility (1995),Lone Star (1996),Murder at 1600 (1997)
"Fog, The (1980)",2.9,10,Brazil (1985),Boogie Nights (1997),One Flew Over the Cuckoo's Nest (1975),"Game, The (1997)"
Fools Rush In (1997),2.909090909090909,11,Titanic (1997),Lone Star (1996),Boogie Nights (1997),Heat (1995)
For Ever Mozart (1996),1.0,2,-,-,-,-
For Love or Money (1993),2.25,4,Star Trek: The Wrath of Khan (1982),"Clockwork Orange, A (1971)",When Harry Met Sally... (1989),Terminator 2: Judgment Day (1991)
For Richer or Poorer (1997),2.0,6,Conspiracy Theory (1997),L.A. Confidential (1997),Air Force One (1997),Titanic (1997)
For Whom the Bell Tolls (1943),3.7777777777777777,9,Mr. Holland's Opus (1995),"Lion King, The (1994)",Broken Arrow (1996),Boogie Nights (1997)
For the Moment (1994),3.0,2,-,-,-,-
"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,4,Dances with Wolves (1990),Raiders of the Lost Ark (1981),"Fish Called Wanda, A (1988)",In & Out (1997)
Forbidden Planet (1956),3.8181818181818183,33,"People vs. Larry Flynt, The (1996)",Face/Off (1997),"Devil's Own, The (1997)",Mars Attacks! (1996)
Foreign Correspondent (1940),3.8,10,Field of Dreams (1989),"Empire Strikes Back, The (1980)",Stand by Me (1986),Groundhog Day (1993)
Foreign Student (1994),2.0,2,-,-,-,-
Forget Paris (1995),3.185185185185185,27,Boogie Nights (1997),Evita (1996),Sleepless in Seattle (1993),Contact (1997)
Forrest Gump (1994),3.8588235294117648,170,Braveheart (1995),Top Gun (1986),"Time to Kill, A (1996)",Murder at 1600 (1997)
Four Days in September (1997),4.333333333333333,6,Evita (1996),Fargo (1996),"Full Monty, The (1997)","Devil's Own, The (1997)"
Four Rooms (1995),3.08,50,Casablanca (1942),Unforgiven (1992),"Clockwork Orange, A (1971)","Saint, The (1997)"
Four Weddings and a Funeral (1994),3.6666666666666665,147,"Truth About Cats & Dogs, The (1996)","English Patient, The (1996)",Mrs. Doubtfire (1993),Quiz Show (1994)
"Fox and the Hound, The (1981)",3.4516129032258065,31,"Shining, The (1980)",L.A. Confidential (1997),Sense and Sensibility (1995),One Flew Over the Cuckoo's Nest (1975)
Foxfire (1996),2.888888888888889,9,Aliens (1986),Courage Under Fire (1996),"English Patient, The (1996)",It's a Wonderful Life (1946)
Frankie Starlight (1995),2.0,1,-,-,-,-
Free Willy (1993),2.4444444444444446,18,Volcano (1997),Lone Star (1996),"Time to Kill, A (1996)",L.A. Confidential (1997)
Free Willy 2: The Adventure Home (1995),1.8,5,Jerry Maguire (1996),Liar Liar (1997),In & Out (1997),"Clockwork Orange, A (1971)"
Free Willy 3: The Rescue (1997),1.4285714285714286,14,Conspiracy Theory (1997),"Game, The (1997)",Volcano (1997),Murder at 1600 (1997)
Freeway (1996),3.08,25,Starship Troopers (1997),Seven (Se7en) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Heat (1995)
French Kiss (1995),3.3488372093023258,43,Willy Wonka and the Chocolate Factory (1971),Quiz Show (1994),Conspiracy Theory (1997),"Shining, The (1980)"
French Twist (Gazon maudit) (1995),2.9473684210526314,19,Courage Under Fire (1996),Murder at 1600 (1997),Dante's Peak (1997),To Kill a Mockingbird (1962)
Fresh (1994),4.0,9,"Usual Suspects, The (1995)",Top Gun (1986),Conspiracy Theory (1997),Speed (1994)
Friday (1995),3.2777777777777777,18,Casablanca (1942),Courage Under Fire (1996),"Wizard of Oz, The (1939)",Babe (1995)
Fried Green Tomatoes (1991),3.8205128205128207,78,Murder at 1600 (1997),Braveheart (1995),"Truth About Cats & Dogs, The (1996)",Titanic (1997)
"Frighteners, The (1996)",3.161764705882353,68,Quiz Show (1994),Terminator 2: Judgment Day (1991),In & Out (1997),Indiana Jones and the Last Crusade (1989)
Frisk (1995),3.5,2,Independence Day (ID4) (1996),Ransom (1996),Twister (1996),Jaws (1975)
From Dusk Till Dawn (1996),3.108695652173913,46,Batman (1989),Phenomenon (1996),"Wizard of Oz, The (1939)","Time to Kill, A (1996)"
"Fugitive, The (1993)",4.036363636363636,165,Speed (1994),Jurassic Park (1993),Conspiracy Theory (1997),Star Trek IV: The Voyage Home (1986)
Full Metal Jacket (1987),3.6136363636363638,88,Murder at 1600 (1997),Seven (Se7en) (1995),"Shining, The (1980)",Courage Under Fire (1996)
"Full Monty, The (1997)",3.957055214723926,163,Courage Under Fire (1996),When Harry Met Sally... (1989),Star Trek IV: The Voyage Home (1986),Boogie Nights (1997)
Full Speed (1996),3.0,4,Scream (1996),Boogie Nights (1997),Volcano (1997),L.A. Confidential (1997)
"Funeral, The (1996)",2.3846153846153846,13,"Game, The (1997)","Wizard of Oz, The (1939)",Stand by Me (1986),Babe (1995)
Funny Face (1957),3.75,16,Heat (1995),"Full Monty, The (1997)",Scream (1996),In & Out (1997)
G.I. Jane (1997),3.2948717948717947,78,Gandhi (1982),"Blues Brothers, The (1980)","Rock, The (1996)",Apollo 13 (1995)
Gabbeh (1996),2.5,2,-,-,-,-
"Game, The (1997)",3.511111111111111,135,Twister (1996),True Lies (1994),"Time to Kill, A (1996)",Rear Window (1954)
Gandhi (1982),4.072072072072072,111,Murder at 1600 (1997),Dante's Peak (1997),"Sting, The (1973)",Volcano (1997)
Gang Related (1997),3.0,7,In & Out (1997),L.A. Confidential (1997),Indiana Jones and the Last Crusade (1989),"Fish Called Wanda, A (1988)"
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",4.083333333333333,12,Eraser (1996),Evita (1996),Men in Black (1997),Gandhi (1982)
Gaslight (1944),3.7777777777777777,18,"Time to Kill, A (1996)","Saint, The (1997)","Game, The (1997)",Star Trek IV: The Voyage Home (1986)
"Gate of Heavenly Peace, The (1995)",4.0,1,-,-,-,-
Gattaca (1997),3.5072463768115942,69,"Time to Kill, A (1996)",Murder at 1600 (1997),Alien (1979),Star Trek III: The Search for Spock (1984)
"Gay Divorcee, The (1934)",4.25,8,2001: A Space Odyssey (1968),Sleepless in Seattle (1993),GoodFellas (1990),Dances with Wolves (1990)
George of the Jungle (1997),2.5294117647058822,85,Courage Under Fire (1996),When Harry Met Sally... (1989),Heat (1995),Liar Liar (1997)
Georgia (1995),2.611111111111111,18,Terminator 2: Judgment Day (1991),"Saint, The (1997)",It's a Wonderful Life (1946),Leaving Las Vegas (1995)
Germinal (1993),4.0,2,-,-,-,-
Geronimo: An American Legend (1993),3.2,5,Groundhog Day (1993),"Hunt for Red October, The (1990)",Scream (1996),True Lies (1994)
Get Shorty (1995),3.638095238095238,105,Willy Wonka and the Chocolate Factory (1971),Apocalypse Now (1979),"Fifth Element, The (1997)","Shawshank Redemption, The (1994)"
Get on the Bus (1996),3.130434782608696,23,Stand by Me (1986),True Lies (1994),"Lion King, The (1994)",Sense and Sensibility (1995)
"Getaway, The (1994)",2.142857142857143,7,Dead Man Walking (1995),Forrest Gump (1994),Fargo (1996),E.T. the Extra-Terrestrial (1982)
Getting Even with Dad (1994),1.5,2,"Fifth Element, The (1997)",Indiana Jones and the Last Crusade (1989),Jurassic Park (1993),Liar Liar (1997)
Ghost (1990),3.4893617021276597,94,"Rock, The (1996)",Forrest Gump (1994),Braveheart (1995),Volcano (1997)
"Ghost and Mrs. Muir, The (1947)",3.380952380952381,21,"Sound of Music, The (1965)",Beauty and the Beast (1991),Courage Under Fire (1996),Top Gun (1986)
"Ghost and the Darkness, The (1996)",3.267605633802817,71,Babe (1995),True Lies (1994),"Game, The (1997)",Murder at 1600 (1997)
Ghost in the Shell (Kokaku kidotai) (1995),3.25,8,GoodFellas (1990),Toy Story (1995),Titanic (1997),M*A*S*H (1970)
Ghosts of Mississippi (1996),3.6666666666666665,15,Casablanca (1942),Evita (1996),Volcano (1997),Conspiracy Theory (1997)
Giant (1956),3.6206896551724137,29,"Game, The (1997)",Volcano (1997),Mission: Impossible (1996),Star Wars (1977)
Gigi (1958),3.6,20,"Birdcage, The (1996)",Face/Off (1997),Sense and Sensibility (1995),Boogie Nights (1997)
Gilligan's Island: The Movie (1998),2.0,1,-,-,-,-
Girl 6 (1996),2.6923076923076925,13,"Saint, The (1997)",Murder at 1600 (1997),Field of Dreams (1989),Titanic (1997)
Girl in the Cadillac (1995),1.0,1,-,-,-,-
Glengarry Glen Ross (1992),3.4146341463414633,41,Jaws (1975),Mars Attacks! (1996),Apocalypse Now (1979),GoodFellas (1990)
"Glimmer Man, The (1996)",2.5789473684210527,19,"Full Monty, The (1997)",This Is Spinal Tap (1984),Dances with Wolves (1990),Field of Dreams (1989)
Glory (1989),4.144329896907217,97,To Kill a Mockingbird (1962),"Fish Called Wanda, A (1988)","Fugitive, The (1993)",Babe (1995)
Go Fish (1994),3.625,8,Independence Day (ID4) (1996),Sleepless in Seattle (1993),"Rock, The (1996)",Quiz Show (1994)
"Godfather, The (1972)",4.2745098039215685,204,Apocalypse Now (1979),2001: A Space Odyssey (1968),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)"
"Godfather: Part II, The (1974)",4.145833333333333,96,"Godfather, The (1972)",Twister (1996),GoodFellas (1990),Raising Arizona (1987)
Gold Diggers: The Secret of Bear Mountain (1995),2.5,6,Quiz Show (1994),Mighty Aphrodite (1995),"Graduate, The (1967)",Contact (1997)
Golden Earrings (1947),4.0,2,Mrs. Doubtfire (1993),Aladdin (1992),Apollo 13 (1995),When Harry Met Sally... (1989)
GoldenEye (1995),3.0625,64,Dante's Peak (1997),Volcano (1997),Phenomenon (1996),Mighty Aphrodite (1995)
